,value
experiment,worst25_patch150_diam20
total_segmented_cells,82
mean_cosine_before,0.10087482157015666
mean_cosine_after,0.10092225738813836
median_cosine_before,0.10389230601632146
median_cosine_after,0.10389230601632146
std_cosine_before,0.03902785163350282
std_cosine_after,0.03897299685886524
low_confidence_before,38
low_confidence_after,38
percent_low_confidence_before,46.34146341463415
percent_low_confidence_after,46.34146341463415
cells_considered_for_correction,21
cells_improved,9
percent_improved_of_considered,42.857142857142854
cells_rejected_or_unchanged,12
average_cosine_improvement_among_improved,0.000432193008277481
max_cosine_improvement,0.0011334482335396828
overall_mean_delta,4.743581798167475e-05
overall_max_delta,0.0011334482335396828
cells_with_any_score_change,9
