,endothelial cell,endothelial cell of artery,endothelial cell of vascular tree,fibroblast,myofibroblast cell,pericyte,vascular associated smooth muscle cell,vein endothelial cell
cell_1,0.12320930984989857,0.12372625711355528,0.12142525330259982,0.10572917185247138,0.11523226685360967,0.11134815513118976,0.10674454183823891,0.12319870027906989
cell_2,0.07302052671899413,0.06976091390482327,0.07265287877379561,0.08956744561504766,0.08142890501333012,0.08642544040379994,0.07755362877047661,0.0764570948862239
cell_3,0.15424699972990033,0.1395715368843822,0.1426930688515362,0.11506293973951501,0.12775008400603194,0.12835501708038877,0.12230993325596494,0.1427699231608284
cell_4,0.09822724011426315,0.09017409368494433,0.09697438049566677,0.10023975328361033,0.08898154300032414,0.08731914913010948,0.07691340693223186,0.09692004039667089
cell_5,0.09891451695024364,0.09000522835328029,0.09363541611026946,0.09392720563605282,0.08751519372772416,0.09052506795489279,0.07490743733754447,0.09695992236000506
cell_6,0.009262554923433076,0.009034073453567848,0.007901997173153324,0.009852274050164676,0.009823381682168154,0.009613488178217963,0.010160380443482636,0.008641396314273124
cell_7,0.09501305777532716,0.09272009127309783,0.08768237260849271,0.09979346737940502,0.09034842115703014,0.09503869169418848,0.08479896807048509,0.09089901723066966
cell_8,0.1424780326120963,0.13066660975544825,0.13616346179549102,0.14445352108156906,0.14524660135893214,0.141868183468238,0.1348384855218257,0.13223592504319262
cell_9,0.09644459587727039,0.09161495182804696,0.09723856305614305,0.09799744600804944,0.10656851535779477,0.10705301123711326,0.10754349834241234,0.09933136117932917
cell_10,0.024353892470733385,0.02635129528512021,0.02295085363188197,0.028475251631288622,0.02656044697452025,0.033226370760138756,0.02779001358825946,0.027224249983113645
cell_11,0.07277580010393224,0.05940615994194201,0.06486926867762705,0.07054168223189923,0.06688451919055607,0.0723209562297772,0.0670319293364923,0.07474885403463659
cell_12,0.11239022310094482,0.09813326731916071,0.10563952326894455,0.09882452302018875,0.09645048147405408,0.1013248097849416,0.09379185749269608,0.1081984389141497
cell_13,0.1039501615464662,0.09750192253079723,0.10026309411738696,0.09120439734361814,0.09291557929199461,0.08731291161074034,0.08343899929235381,0.09475372694344104
cell_14,0.12204278791148691,0.11643127249065796,0.11719068138484212,0.10367526728833673,0.11658512880166692,0.11726193724389238,0.11646331368817041,0.12491717999246442
cell_15,0.19587921720536094,0.18347653359166954,0.18533378520714486,0.16066234734130486,0.16342720278713596,0.16308266911840805,0.14389707312469194,0.18878786935182398
cell_16,0.09524964145026289,0.0946322535084972,0.08873654873293763,0.06853475056020318,0.07405124123411817,0.07547913746167291,0.07337766326971105,0.09490051362139099
cell_17,0.15650065088437354,0.1528006749165945,0.15597315247080595,0.13831747792276014,0.14473707910657727,0.1401940522938383,0.13100400215643435,0.15985391480309363
cell_18,0.15158482399546364,0.14583126273983651,0.14732972492180413,0.13235868197741896,0.1303828920932384,0.1258325734243841,0.12103725351609905,0.15118887277194334
cell_19,0.13009464634111267,0.11850922495241419,0.11958186314142245,0.10990701716764299,0.11962924528891192,0.12442166805419554,0.11550550267926259,0.12801411173645494
cell_20,0.11905572757173333,0.10308147993554012,0.11056116141837613,0.11155641937924865,0.10437690559781783,0.11034533560194684,0.09913878172442558,0.11745123385567306
cell_21,0.10263880681389419,0.10306306937426453,0.09362904870524337,0.09219235370173869,0.09194112224514456,0.10344534825412051,0.09434117361655107,0.09955249759142257
cell_22,0.10482315229898959,0.09860529928974658,0.10510912284100377,0.09293297266015799,0.10490821039478467,0.10998009851735166,0.10822632417135633,0.1063477033940551
cell_23,0.0937980958759971,0.08510249440369984,0.0905311489496907,0.09484778187637015,0.10190273320839437,0.10839860496650633,0.1043822464576632,0.09068019146982878
cell_24,0.04424128430221686,0.04269200378894818,0.04066910453445236,0.05321085603500253,0.04302091224825055,0.04986370371235363,0.041889859695219696,0.04234436454800748
cell_25,0.12012008220550323,0.11024606494826102,0.11388535105670497,0.09447481684633015,0.09585609236875368,0.09553483684076831,0.0829111840431047,0.1158416392522461
cell_26,0.153125337198441,0.13804497972044552,0.14769513537642068,0.13923348761673865,0.14024202425588508,0.14250552946002204,0.1287893065134268,0.15324930199819553
cell_27,0.14876425873680402,0.13891857815881414,0.13721997372029163,0.13942519977680504,0.14220158734073007,0.14846461966594773,0.13934595279770853,0.14487045827575454
cell_28,0.09794987840904501,0.09692512532100558,0.09790471757035824,0.07657087036886878,0.08584374464547036,0.08658113910908895,0.08301577402589488,0.10383445048617675
cell_29,0.14199332759614716,0.13096191313186664,0.13562635552797794,0.11534231343424742,0.1262478322211158,0.1251591107980658,0.11739885546092052,0.13786979522115383
cell_30,0.12688500838721006,0.11629712018698238,0.12321127994248705,0.11414182740710312,0.12117867766479688,0.12633634690149625,0.1146100380868954,0.12715331992833284
cell_31,0.15019282357021724,0.14178798571751336,0.14561055168772535,0.13564782211967666,0.14079531739433868,0.14221514214008635,0.1355512221677616,0.14724786044251925
cell_32,0.08285624453364479,0.07499568837185351,0.07419360449690063,0.06744378345270062,0.0699276288423295,0.07553337499916363,0.07821785176314318,0.07761014465845141
cell_33,0.11801863612039937,0.1099916948517169,0.11902034541445795,0.11667409345124415,0.11494610061891057,0.11546875997188083,0.10246987243732086,0.1231812159974258
cell_34,0.10296170359553093,0.09728869065937584,0.09724372071031369,0.10534362994853853,0.09899531554694779,0.1050864752049813,0.09495082776211419,0.10093415621570029
cell_35,0.08811751245195197,0.08569912607124254,0.07853865489453606,0.08331031388282986,0.07837911809739612,0.0820994863041161,0.07976189774843714,0.08015620640770338
cell_36,0.047218988501602895,0.04298412023113605,0.04345647681216354,0.03901462500167065,0.03911574192369957,0.04534560223452223,0.03731071844602048,0.046234653615914056
cell_37,0.08758108158432913,0.08852002720845224,0.09015054942581043,0.07180710069871082,0.07598123618474956,0.07612745145676826,0.06743516049067723,0.08620135678034009
cell_38,0.15588171140378201,0.14966341936487615,0.14571176552979656,0.16961961131172562,0.14179860577591377,0.1510192690619348,0.13390985540460126,0.1573319702600952
cell_39,0.09983318166408682,0.09456420394404126,0.09582730546677388,0.0983101718685846,0.10004770285417534,0.10293289369658923,0.09771700317360656,0.09895477281929002
cell_40,0.0368639184100361,0.029582359435446882,0.033145849868445744,0.02385322745545863,0.0250335850864997,0.026410341797620234,0.021061855425106055,0.04122501978959904
cell_41,0.01889837892688188,0.020017489638650892,0.020200089538949553,0.01664958347684322,0.01659626807830418,0.012328435386552929,0.01602364951605684,0.01790337673818917
cell_42,0.12583546809720886,0.12440966107644173,0.12222385474078945,0.12623766477623036,0.12029736837060505,0.1234633612458953,0.11160953330381576,0.12167121338160951
cell_43,0.05635963361381522,0.0473640206960552,0.05922242460144605,0.05077867538831424,0.0629260171600307,0.054790311677996084,0.047509628079306664,0.04931992910277391
cell_44,0.1511632590975457,0.14060392837287283,0.14460326238804214,0.1332562787195513,0.12859375216964386,0.1327854913520629,0.11976686083393376,0.15082292398179434
cell_45,0.14323494382727148,0.126444313514137,0.13933789533477128,0.12233332594084619,0.13936982060262104,0.14143417795304455,0.1303228091738001,0.14138077397779042
cell_46,0.11727951793420621,0.11463121357803502,0.11695076377036523,0.09892379228745875,0.10501503154390415,0.10467814524100433,0.09085726622123687,0.12281879428093444
cell_47,0.03974276571868521,0.04371015030068773,0.035209178061433796,0.036447401361686727,0.039749376650636735,0.045816783545340786,0.042739336375605466,0.03492857111515506
cell_48,0.1116808355533061,0.10268992334317316,0.11387698544451906,0.10518550341234309,0.11557903115413982,0.11776053588385488,0.10839519962986303,0.11418151925736232
cell_49,0.07206796782519101,0.06774444721598183,0.07296214147748167,0.07069731569098148,0.07037537587617478,0.0711600591940174,0.06577318450100782,0.07251617203135201
cell_50,0.11780276346660622,0.10554594946246858,0.11005693413587615,0.10797194073524466,0.1096881265162585,0.11368475645778264,0.10164130059296597,0.11209406762575701
cell_51,0.029158358281012528,0.03270255554758525,0.026153520186226915,0.02720106311224608,0.01909330384785564,0.02279948684456164,0.017559985435524547,0.02060539844049375
cell_52,0.04984184479898006,0.05598651780060183,0.05653864308810515,0.05290040701957544,0.050477941163233994,0.051398214822796,0.04159057979033135,0.06240112710422143
cell_53,0.13176686716383584,0.12961794221866185,0.12746736792193566,0.11224156381351322,0.12175291107632737,0.1167059545372323,0.11463704568993864,0.126043997362805
cell_54,0.13693929827894677,0.13108854297540254,0.13147636676074884,0.13111508180735254,0.12215681782280384,0.12474875073999306,0.11334883949852789,0.13854464888945267
cell_55,0.10835805474394644,0.10678158044862324,0.09810787541643033,0.10744838697706434,0.09758167611718269,0.10306675155890446,0.10245275947213686,0.10027249245436501
cell_56,0.13874873240735236,0.1301097492836518,0.14330701871913384,0.13150874564476914,0.14869601479662287,0.1473371006079471,0.1397730415090109,0.1370168722356806
cell_57,0.02888249499242022,0.025541766282713468,0.026933463981257212,0.07452151018364093,0.03080359577670678,0.03415441703745569,0.022531596186470566,0.026001147761360796
cell_58,0.058611416288923794,0.048915712020881755,0.05463948238255202,0.05885029245178474,0.05542200245919446,0.06316815185827197,0.050585152196633405,0.04884291099975046
cell_59,0.07969349220992027,0.08330664898897377,0.07787676665577509,0.07439694857257588,0.07771734537769968,0.07873713833626461,0.07802532117938996,0.08239287106905002
cell_60,0.05822799329763812,0.05380721403538506,0.05371059529779622,0.061507296526220126,0.05332725624373139,0.05544048761278074,0.052502801636169154,0.06286416683656343
cell_61,0.10574619488197498,0.10108454557890707,0.10202455677807243,0.09949003130794801,0.0984644095784299,0.09921022089422424,0.09577057630109127,0.0987983507015811
cell_62,0.12212453369418533,0.11179990536490872,0.11583070728024687,0.11950444130891459,0.11705208846951269,0.11639450011844474,0.10741159272037633,0.11342854528205912
cell_63,0.08004762937204048,0.0763855305749106,0.07728818024358762,0.0686620534594159,0.0725298052999504,0.06951164379817262,0.06383680986998083,0.07221978505130323
cell_64,0.07237320029328594,0.06353158624800774,0.06978754371581194,0.07990460006939425,0.07051289354593211,0.07844196630191727,0.06323581135586276,0.0746557100378182
cell_65,0.10363600710143889,0.09247817918872861,0.10073823526789452,0.09852243456820184,0.10050277047631039,0.09912489548294247,0.09092536041269887,0.09746652499781734
cell_66,0.03517324407697081,0.033220190993481405,0.038844199259552604,0.038372539904042435,0.04421490981882696,0.04208103513367233,0.04222469049984921,0.035551605817101
cell_67,0.1331746358604819,0.12988274846562348,0.13087678773011455,0.12398672971465637,0.1299575301895526,0.12830873056591172,0.12136288361444483,0.13638604087936593
cell_68,0.11554311989326646,0.10606652616799749,0.1112089031930516,0.11003993723433399,0.11128736826789529,0.1117706929623078,0.10945838122153805,0.11500096036751253
cell_69,0.1260315223163367,0.11768180050272116,0.11602792829082925,0.10086203404603834,0.09856931120233074,0.10259392400861794,0.08759856891312859,0.12342969169204648
cell_70,0.06636472487477747,0.059404460976463395,0.0623234607920372,0.0759052157199364,0.06542998042651309,0.07096515109225669,0.05887454269375458,0.06851997162793277
cell_71,0.013884438755353435,0.017599526896975838,0.014232299458847329,0.0115593520478183,0.010067636014120099,0.009748258026622596,0.010838958711570774,0.011403329090994861
cell_72,0.013337681402418032,0.012079082494002656,0.016524091478214233,0.013766623417516772,0.012452858435499155,0.00925074426771256,0.007925866777959876,0.013663377523851878
cell_73,0.09844613182552882,0.08594733501443724,0.09421664381692671,0.0856585482253687,0.08143466500578726,0.0825789481789024,0.07877916392116863,0.0997020121324884
cell_74,0.14156282201443848,0.1411987683742145,0.14081088290400792,0.12881254416300944,0.1319162670151439,0.1327744659394185,0.12696078595302665,0.14181879391702096
cell_75,0.05497599837517682,0.05085915466380127,0.05447448062855457,0.07010861622708947,0.061979289868520075,0.06841233438026435,0.06339020234560076,0.050991709298677544
cell_76,0.06545437274468381,0.0590827082064961,0.06604058676237004,0.08235448363223156,0.07766508628917106,0.07454693205312923,0.07246243742009964,0.0689289147807695
cell_77,0.08848026941995853,0.08140344809828186,0.09356629273728838,0.09129088044181644,0.09798267763279192,0.09628864233253508,0.09399031886913735,0.08411947579073413
