,endothelial cell,endothelial cell of artery,endothelial cell of vascular tree,fibroblast,myofibroblast cell,pericyte,vascular associated smooth muscle cell,vein endothelial cell
cell_1,0.07730751167033499,0.04577318664856895,0.06936302361043856,0.07834580855075673,0.20939956192335268,0.23537923464912636,0.3204698299053293,0.12585740676288004
cell_2,,,,,,,,
cell_3,0.2042022384864925,0.1735206230292241,0.21646846759422517,0.019851965150684502,0.04747414101662979,0.03372774529863666,0.015763761340407148,0.22802375841861108
cell_4,0.6312711963964989,0.5394064645080086,0.6371319563206816,0.0532293523736259,0.12842714927978707,0.09716420288462517,0.04261599221689295,0.7126154442959783
cell_5,0.005123660221599175,0.0028568690708939007,0.019023769864139006,0.0017456871296312856,0.010437243126545575,0.0029672691595179694,0.0018936921038003375,0.004307811486919603
cell_6,,,,,,,,
cell_7,0.003850146554564788,0.0035565910351875924,0.014119834866991622,0.002793223712190452,0.01403596026107511,0.0026945431162458586,0.0018428051717842148,0.002486123868556655
cell_8,0.12319753096704779,0.31244910505259715,0.23954062592916928,0.3058947492958479,0.6960346220452439,0.5232905156487588,0.6663374233081372,0.15143937041196326
cell_9,,,,,,,,
cell_10,,,,,,,,
cell_11,,,,,,,,
cell_12,,,,,,,,
cell_13,,,,,,,,
cell_14,,,,,,,,
cell_15,,,,,,,,
cell_16,,,,,,,,
cell_17,0.8689073573777051,0.9026296874833727,0.9120113772133337,0.03696134171421486,0.15275180406685454,0.06584787907262635,0.02994093578861024,0.9497840403522633
cell_18,0.004500698342865082,0.0027918723111660247,0.01515873690885349,0.002052831106282793,0.009983916459003081,0.002395610480633306,0.0018790991181297087,0.003846816408179011
cell_19,0.003175802806459616,0.0053343459584953784,0.010412619585243256,0.0012236368341906887,0.00486940232111752,0.0017053697613672386,0.0009012264028511117,0.001438424696606226
cell_20,,,,,,,,
cell_21,0.004824326841903945,0.003104641758601856,0.01580048096113975,0.0031826911776082945,0.007233088764261546,0.003164097533700869,0.002411132703367504,0.0028196643129422432
cell_22,0.03319056406841839,0.019882322254705497,0.04043115852984102,0.03205195739987012,0.08448479925168789,0.09035544396377912,0.12125818739333272,0.04936026001252744
cell_23,,,,,,,,
cell_24,0.003175802806459616,0.0053343459584953784,0.010412619585243256,0.0012236368341906887,0.00486940232111752,0.0017053697613672386,0.0009012264028511117,0.001438424696606226
cell_25,,,,,,,,
cell_26,0.07730751167033499,0.04577318664856895,0.06936302361043856,0.07834580855075673,0.20939956192335268,0.23537923464912636,0.3204698299053293,0.12585740676288004
cell_27,0.07730751167033499,0.04577318664856895,0.06936302361043856,0.07834580855075673,0.20939956192335268,0.23537923464912636,0.3204698299053293,0.12585740676288004
cell_28,0.6312711963964989,0.5394064645080086,0.6371319563206816,0.0532293523736259,0.12842714927978707,0.09716420288462517,0.04261599221689295,0.7126154442959783
cell_29,,,,,,,,
cell_30,,,,,,,,
cell_31,0.6077273949045828,0.7244048342638373,0.6582388657932965,0.004750130696764679,0.09287603636258432,0.006595067786996071,0.004250312554379806,0.6462246863845125
cell_32,,,,,,,,
cell_33,,,,,,,,
cell_34,,,,,,,,
cell_35,,,,,,,,
cell_36,,,,,,,,
cell_37,,,,,,,,
cell_38,,,,,,,,
cell_39,,,,,,,,
cell_40,0.0016647779516353123,0.0012898457959738465,0.0041936392506783295,0.0012323568186940594,0.004435856991393014,0.00069406297878388,0.0008914673385267358,0.0014800794864973975
cell_41,,,,,,,,
cell_42,0.3558186303295202,0.42539249324231826,0.3910666664688576,0.0037566716346995443,0.057945495268642726,0.00522102174357696,0.003203802080984512,0.3767809637722625
cell_43,,,,,,,,
cell_44,,,,,,,,
cell_45,,,,,,,,
cell_46,,,,,,,,
cell_47,,,,,,,,
cell_48,0.07730751167033499,0.04577318664856895,0.06936302361043856,0.07834580855075673,0.20939956192335268,0.23537923464912636,0.3204698299053293,0.12585740676288004
cell_49,,,,,,,,
cell_50,0.07730751167033499,0.04577318664856895,0.06936302361043856,0.07834580855075673,0.20939956192335268,0.23537923464912636,0.3204698299053293,0.12585740676288004
cell_51,,,,,,,,
cell_52,,,,,,,,
cell_53,0.0016647779516353123,0.0012898457959738465,0.0041936392506783295,0.0012323568186940594,0.004435856991393014,0.00069406297878388,0.0008914673385267358,0.0014800794864973975
cell_54,,,,,,,,
cell_55,0.007654923669474744,0.008107544250496266,0.028583047018008546,0.007683532549497003,0.11947724836601073,0.041570779749916936,0.27749342405372945,0.006818925052123344
cell_56,,,,,,,,
cell_57,0.025345569944368304,0.025804211819585636,0.07538904114941083,0.6387237258432997,0.1144100267090538,0.18415718482789262,0.0253303238160776,0.027653830099009947
cell_58,,,,,,,,
cell_59,0.003850146554564788,0.0035565910351875924,0.014119834866991622,0.002793223712190452,0.01403596026107511,0.0026945431162458586,0.0018428051717842148,0.002486123868556655
cell_60,,,,,,,,
cell_61,0.6312711963964989,0.5394064645080086,0.6371319563206816,0.0532293523736259,0.12842714927978707,0.09716420288462517,0.04261599221689295,0.7126154442959783
cell_62,,,,,,,,
cell_63,0.6312711963964989,0.5394064645080086,0.6371319563206816,0.0532293523736259,0.12842714927978707,0.09716420288462517,0.04261599221689295,0.7126154442959783
cell_64,,,,,,,,
cell_65,,,,,,,,
cell_66,,,,,,,,
cell_67,0.5638251036709704,0.6144085671312397,0.6428084985627724,0.2367209676310855,0.5442509756144889,0.40964603288180257,0.4593173353866695,0.6443954709106585
cell_68,,,,,,,,
cell_69,0.6077273949045828,0.7244048342638373,0.6582388657932965,0.004750130696764679,0.09287603636258432,0.006595067786996071,0.004250312554379806,0.6462246863845125
cell_70,,,,,,,,
cell_71,,,,,,,,
cell_72,,,,,,,,
cell_73,,,,,,,,
cell_74,,,,,,,,
cell_75,,,,,,,,
cell_76,0.12319753096704779,0.31244910505259715,0.23954062592916928,0.3058947492958479,0.6960346220452439,0.5232905156487588,0.6663374233081372,0.15143937041196326
cell_77,0.07730751167033499,0.04577318664856895,0.06936302361043856,0.07834580855075673,0.20939956192335268,0.23537923464912636,0.3204698299053293,0.12585740676288004
cell_78,0.3058262302301599,0.26248830753137337,0.3197294731368366,0.028013528612551207,0.06861308392733746,0.049269529796250246,0.02229723200110613,0.3422991888843564
cell_79,,,,,,,,
cell_80,,,,,,,,
cell_81,,,,,,,,
cell_82,,,,,,,,
