,endothelial cell,endothelial cell of artery,endothelial cell of vascular tree,fibroblast,myofibroblast cell,pericyte,vascular associated smooth muscle cell,vein endothelial cell
cell_1,0.10812456105411115,0.10247477075915015,0.10552568171948332,0.08127561211177413,0.13705351272612312,0.14564168581205383,0.17365521435499184,0.12191245651632793
cell_2,0.057550078417118206,0.05735567221315732,0.05820625861495303,0.04897037249277318,0.04747733216043077,0.05611043348831447,0.044490055690715645,0.060767670155749035
cell_3,0.15805432656434876,0.14219414324242433,0.15263083809026898,0.0647323554808149,0.08329782399084541,0.08702731977121321,0.07021546121216378,0.1549515470159502
cell_4,0.20102698020081305,0.17109907524853032,0.1988988443937411,0.06642374423825172,0.08334109161564032,0.07786158044673923,0.05315536302483765,0.21512482788618395
cell_5,0.07159384399896701,0.0673652202916709,0.0725184738354451,0.04689430168777457,0.04964622018828242,0.05392173973473723,0.03938263479438022,0.07055357736973428
cell_6,0.007300149507792824,0.0074275884123215065,0.006330729061228651,0.0053866617142466645,0.005727547914179122,0.006241414408700879,0.005828687824617733,0.006868133319638733
cell_7,0.07425576479964884,0.07552971566886195,0.07068122133796903,0.054204750365382914,0.05383534441310432,0.06120137666230307,0.04823395487260349,0.07151303057931425
cell_8,0.13148967802281492,0.16192134024817176,0.15164306765176644,0.16204354546622293,0.27352040366763947,0.22304259371446017,0.25987618334869467,0.13024913118592288
cell_9,0.0760114217883396,0.0753235135944851,0.07790321655683224,0.05357941606351189,0.062135046525035896,0.06950257746652702,0.06169429214703279,0.0789480087001663
cell_10,0.019194170248133722,0.021665373490196985,0.018387204257804046,0.015568644049567268,0.015486136810170477,0.021571727698281657,0.01594224889007486,0.02163768118149606
cell_11,0.05735720065355768,0.04884225343895394,0.051970376020044014,0.03856816984610518,0.03899719065951949,0.04695330663497313,0.03845409062756784,0.05940996990869795
cell_12,0.08857873865615795,0.08068270896283038,0.08463369263724631,0.05403161461720008,0.05623570088812458,0.06578362775579336,0.053805412194641716,0.08599551234697368
cell_13,0.081926825473242,0.0801636331264063,0.08032633646771474,0.04986536436566099,0.05417466709398486,0.056686610987638365,0.0478663059891219,0.07530973068615002
cell_14,0.09618626884983582,0.09572686948232853,0.09388796731904533,0.05668372501341848,0.06797525871405523,0.07613057104126754,0.06681130714394747,0.09928347397798068
cell_15,0.15437938915222776,0.1508498001308805,0.14848119460541,0.08784101121607958,0.09528665023193861,0.10587900062656672,0.0825491843327602,0.15004753962009815
cell_16,0.07506963563492271,0.07780426329320926,0.07109178041284532,0.03747089403505995,0.04317576634966268,0.049003708890702165,0.042094436805603055,0.07542639591443512
cell_17,0.26408697913256973,0.26057574561515034,0.268627415238489,0.08118921065685535,0.11494785329952348,0.10120615294726351,0.07898946888922437,0.27896077757029225
cell_18,0.1132841343960838,0.11328610789312306,0.1140784892106294,0.06863348025434561,0.0742443578140597,0.0774407807592995,0.06581625956522999,0.11378913549927107
cell_19,0.10104004468077973,0.09624103412166021,0.09524535844150808,0.05919340060366568,0.06923343881632127,0.07955722367554217,0.0651978748784515,0.10006173973575222
cell_20,0.09383206018394893,0.08475100516166283,0.08857669046155768,0.06099268962566053,0.06085722282688549,0.07164007015886188,0.056872772943778384,0.09334958186612019
cell_21,0.07893034136129295,0.08233382255458466,0.07491697548112475,0.04939213164547648,0.053312109540598854,0.06551552498857072,0.05280423620755573,0.07689650868950994
cell_22,0.08340650908738266,0.0781102958070085,0.08645991798098256,0.057408075859641194,0.08466414832006994,0.09395084722523818,0.0986311273978451,0.08921113923149018
cell_23,0.07392562085745472,0.06996913458158094,0.07252953437510756,0.051857359297280414,0.059414650262074556,0.07037618420897054,0.05988078226187819,0.07207210754082151
cell_24,0.03166313630232492,0.03237836504499068,0.031666305135826626,0.02613234902848841,0.023981264569272284,0.029153234726007206,0.021534607586704467,0.030083125954055476
cell_25,0.09467091598778074,0.0906415471074516,0.09123988351101868,0.05165344328379566,0.05588914079401221,0.062024573821381636,0.04756351513064392,0.09207028510378473
cell_26,0.1248024388465635,0.11551951072111995,0.12185594428204521,0.08224699950294861,0.09821384478869706,0.10979380127211254,0.09951381925982107,0.12876688874468156
cell_27,0.12453220275716366,0.11713300989630765,0.11612660854483514,0.08810473681020982,0.11616758875472599,0.13118960184926812,0.13228038051845772,0.12840336915237668
cell_28,0.20055924056511193,0.17613832255173306,0.1993468561942097,0.05418279103092397,0.08155079634753308,0.0773698983688309,0.056447676119058696,0.2200222342643246
cell_29,0.11190999990061956,0.10767359745669822,0.10865781037312945,0.06306260063873421,0.07360912275456774,0.08125769367306188,0.06734799776991186,0.10957813990849512
cell_30,0.10000259530778176,0.09561657282585478,0.09871140339725187,0.062406243325896504,0.07065353917397652,0.08202199672749774,0.06574814174449216,0.1010607454561497
cell_31,0.20558296933964634,0.21313037513943434,0.20873908239331818,0.07291379986810481,0.09794435965245626,0.0907896894877749,0.07628297617045868,0.20867911421288252
cell_32,0.06530195801804345,0.061659572372068976,0.05944061961216796,0.0368744154231614,0.04077148355605553,0.04903892180631734,0.04487109934274452,0.06168410764707866
cell_33,0.09301469146542851,0.09043241039949329,0.09535381285034038,0.06379074201937672,0.06701961912341738,0.07496637733182428,0.05878371397486987,0.09790373953201788
cell_34,0.08114778654892323,0.07998831923445622,0.07790734864020686,0.057595890592799355,0.05771947292892724,0.068225833157007,0.05447027665872622,0.08022190120474564
cell_35,0.06944855069378883,0.07045967016146533,0.06292168094667065,0.04554932961766436,0.04569914606788005,0.053301872043331186,0.04575686952479568,0.06370770324412492
cell_36,0.03721496698458328,0.03534046462911269,0.03481539851571327,0.02133097249651488,0.022806533769662726,0.029439958723726123,0.021403975131025477,0.036747043356514
cell_37,0.06902577041700633,0.07277894426375514,0.07222461494604156,0.03926002851477069,0.04430105486145194,0.049424617122484124,0.038685411544336405,0.0685123548521012
cell_38,0.1228559299442672,0.12304950641993578,0.11673779278692233,0.09273833244853759,0.08267604120682892,0.09804701731992521,0.07681983446729933,0.12504656746305756
cell_39,0.07868208696314567,0.07774831464955319,0.07677257967629111,0.053750396733702584,0.058333070050716924,0.0668276523502479,0.056057143708775035,0.07864869838395033
cell_40,0.023622076161281556,0.019699305118038746,0.022551932390519502,0.010952954143350213,0.013755127222640048,0.01389396960375983,0.010009490437242629,0.026482533710621543
cell_41,0.014894485675019902,0.016457877484391047,0.016183414278876193,0.009103042953963119,0.009676496718802899,0.00800405355807415,0.009192259222939992,0.014229503408668177
cell_42,0.19546598331935894,0.20974070860075097,0.20190091114104103,0.06132859624750079,0.08428421453505694,0.07138391261876181,0.056745230951137135,0.19815712192870544
cell_43,0.04441903502719345,0.038941508843282464,0.04744637542703439,0.027762884509878172,0.03668917588601582,0.03557179604579772,0.02725476592912433,0.03919920300767671
cell_44,0.11913714958985637,0.11560102034556587,0.11584970931888353,0.07285693547568255,0.07497691740438907,0.08620900797163294,0.06870644730465987,0.11987321399132414
cell_45,0.11288856188415805,0.10395934045573205,0.11163133116817647,0.06688488767839341,0.08125993177492793,0.09182403928669837,0.07476205987823624,0.11236864613064018
cell_46,0.09243216609227392,0.0942469062310209,0.09369575598550678,0.05408588939261556,0.06122928379832523,0.06796073099289927,0.0521219303103432,0.09761568878463073
cell_47,0.0313226894736784,0.035937388326857195,0.028208029171762423,0.01992736098276703,0.023175976124244987,0.029745866191227537,0.024518200962103495,0.02776103240249853
cell_48,0.0957409225553922,0.08792934574171143,0.09767894337825038,0.06943650914425628,0.09996241268521125,0.11062147445648357,0.11328231834357654,0.10416024335227876
cell_49,0.056799332818606475,0.05569778392069981,0.05845402615306749,0.038653261347947825,0.0410325436138598,0.046199611477535214,0.03773198866123891,0.057635446775950415
cell_50,0.10112971389489134,0.09040531772392864,0.09521912724623993,0.07219896190408039,0.10035273671581657,0.11194725700782954,0.1154909548397655,0.10390687632022794
cell_51,0.022980740909257225,0.026887220243113595,0.02095303841146595,0.014871990416374391,0.011132399836105828,0.01480222818862522,0.010073606384902649,0.016377055101596868
cell_52,0.039282133470135684,0.046030709513187704,0.04529624891493956,0.028922926393389316,0.029431293212026113,0.0333695275460325,0.02385919576448497,0.04959606580473853
cell_53,0.1002696537803559,0.10280871854940755,0.09900587129477394,0.05936660643377437,0.06932477962888282,0.07309792673226578,0.0635182147063837,0.0967007638808425
cell_54,0.10792673934915013,0.10777770933528062,0.1053330237506122,0.07168625108638553,0.071223846304762,0.08099127350051596,0.06502463213800318,0.11011450981869922
cell_55,0.0778701307971708,0.07994563025886792,0.07758314977066194,0.05504494553495089,0.09538376094681383,0.07394891640466612,0.15736561298109292,0.07254857237790152
cell_56,0.10935281884568794,0.10697296973245722,0.11481121648151925,0.07190148402758242,0.08669759324745799,0.09565642414313717,0.08018335826941848,0.10890024150381973
cell_57,0.026412592739078863,0.024598025049518288,0.04869488355789862,0.44265943939754077,0.08374286884415794,0.12313264920646375,0.02427201590960356,0.02602216439924306
cell_58,0.0461937451717739,0.040217270498644,0.04377472573451672,0.032175984509581285,0.03231394084595192,0.04101098434515441,0.029019096514646767,0.03882007169506292
cell_59,0.05721094726159319,0.06213691878919979,0.05956227347404988,0.03741081050046105,0.04561861002905081,0.046616681627394865,0.040690642152688195,0.05921742835876167
cell_60,0.04589155585314115,0.04423894066421291,0.04303054267127259,0.03362868284597391,0.0310925936861557,0.035993913114267244,0.030119191142232993,0.04996408718674159
cell_61,0.18066719268655113,0.15943709668795275,0.17724731740539548,0.06404457666290435,0.08236159839501546,0.08128148088903271,0.06208085705238398,0.18733218114502587
cell_62,0.09625069561332208,0.09191907569216014,0.09279841648805655,0.06533821485308841,0.06824752074744773,0.07556740037178279,0.06161862207764555,0.09015237155170222
cell_63,0.2082608538590349,0.17651965788626706,0.20438172593639936,0.05184123069104554,0.07930564241873451,0.07017043881242939,0.04726121887419524,0.21997790832571343
cell_64,0.05703989740042487,0.052234075387746985,0.05591067946904252,0.043687279484354476,0.04111272364432846,0.05092728150775855,0.0362763782104407,0.05933593958248594
cell_65,0.08167922916356332,0.0760332374609504,0.08070699844769169,0.053866449875502036,0.058598398396321326,0.06435536607097485,0.052160993787041615,0.077465847363259
cell_66,0.02772128668153754,0.027312807112592354,0.031120246657146543,0.020979916974198747,0.025779616704514136,0.02732048702274855,0.02422296495527322,0.028256216888905908
cell_67,0.21243081940838152,0.2150408368435659,0.22461466596750188,0.1287411806691811,0.21587533047225893,0.18038926310741446,0.1885478318366145,0.23004730263915038
cell_68,0.09106364893813203,0.08720523524075158,0.08909563239323051,0.060163563652432625,0.06488638583129797,0.07256546225396666,0.06279279968670745,0.09140211824169818
cell_69,0.2150469177143561,0.2250061425323656,0.2154473164547982,0.053464765803028905,0.07879898827335666,0.0646460425853588,0.04867453493637388,0.21974979039600628
cell_70,0.05230440387497836,0.04884085659218634,0.04993078784854168,0.041500644150614274,0.038149118098192686,0.04607307028747497,0.033774456782191146,0.0544592891106269
