,endothelial cell,endothelial cell of artery,endothelial cell of vascular tree,fibroblast,myofibroblast cell,pericyte,vascular associated smooth muscle cell,vein endothelial cell
cell_1,0.20624957467285543,0.2526947947277898,0.21329128878252493,0.13664586120133312,0.1921234779850283,0.20013316252094948,0.18123835124791776,0.2555046698390889
cell_2,0.0780095674697528,0.11827386158901436,0.08594977531315841,0.20769489417037812,0.13796395165564432,0.16272287231646493,0.13200646403057106,0.13029784598531222
cell_3,0.40651972679531584,0.3312610684581047,0.38702036977409576,0.1692698827196663,0.26491011924661934,0.22169209678781493,0.22196311726140996,0.3786308105858432
cell_4,0.1447357782122527,0.16689167488003373,0.17564539372010268,0.14686830039578044,0.12624444758860523,0.08883049391489375,0.07503294446355933,0.18094452165902472
cell_5,0.11665879409128811,0.12739145843879562,0.11863342116519683,0.2235295940861436,0.08895159263914734,0.11825070523621069,0.03651680856303549,0.13524772248284817
cell_6,,,,,,,,
cell_7,0.2546731965601009,0.1273504821818308,0.20013114949437777,0.11782112442903603,0.2077262312780259,0.23420507866891024,0.13947400091748158,0.16535851333066187
cell_8,0.2579377433914844,0.23181555678732363,0.24110022302170994,0.359344206907589,0.36883417998131696,0.35907592481880235,0.32031800671879657,0.23255542907514282
cell_9,0.09591523336337156,0.12443435512716872,0.1295820005323061,0.14043218534051619,0.15607171658014846,0.15660897772843616,0.1732265048417085,0.12820145609505765
cell_10,,,,,,,,
cell_11,0.15518269420675498,0.10718936876759183,0.15942691480817503,0.03213331091735346,0.1067515064412042,0.07480338998704658,0.12330771383089642,0.21967934262813313
cell_12,0.05261728577473389,0.025015579373448015,0.07274061920986484,0.045315477409850535,0.06905469246661268,0.1022076813331706,0.04775687871764308,0.11604463502124635
cell_13,0.041130194267789945,0.08902390987367877,0.11590754935190967,0.002247362363730691,0.09336996875811901,0.005940779224590306,0.0032650526161176322,0.05697490351693496
cell_14,0.07105715430741319,0.035099604465354116,0.0722089857168587,0.07510105717211697,0.0725954046919104,0.08554946774896593,0.09679025492058495,0.18436866010532457
cell_15,0.4504954431963508,0.3894365905183341,0.41209143355175865,0.17522238096891798,0.24138724163592287,0.20132843514602294,0.15248371898866428,0.4099111718042614
cell_16,0.16431988862830935,0.15171426343603742,0.1416689985605665,0.04403858605542688,0.038553692988842946,0.034539157894729264,0.027153728978867742,0.19967862763045308
cell_17,0.3534394150835839,0.3990003682540016,0.42266563565827747,0.27213357967785695,0.30789844261749943,0.25643064476690947,0.22456719208882112,0.43888092373386145
cell_18,0.2896560502275376,0.3404506523436711,0.33280225625025944,0.207937474503604,0.20065977994212555,0.174188244794508,0.13502824536711133,0.3059161962998078
cell_19,0.18008026962825255,0.15231326595085948,0.14700118033170095,0.11546862407324673,0.15375473285817498,0.19081760274131176,0.12817687768773545,0.17475892398036025
cell_20,0.18148077324869444,0.1257377434236838,0.1954511406088916,0.16343871482642436,0.12072520431989883,0.1104438623249235,0.0761970524032549,0.2534561995243399
cell_21,,,,,,,,
cell_22,0.18395885298711667,0.1941625546778447,0.2105908393222057,0.15717411418764837,0.19273730657967322,0.21152460328497535,0.21729631467875796,0.20556910310213533
cell_23,0.004457536093894155,0.004652607814757182,0.006262300434250536,0.09868607767218929,0.0893901164090636,0.13347771372823614,0.1227244411199605,0.005947788311181199
cell_24,0.08248070471987125,0.08088602087407334,0.10463153645544748,0.11807252685092494,0.12547195204597678,0.1631530340410329,0.0866137172023576,0.09781897940366405
cell_25,0.2563222206959218,0.2735831827670644,0.2488701664024386,0.15719287440422955,0.1325419016507359,0.11063914133906445,0.07675700763395422,0.24619170512564229
cell_26,0.23068797063207452,0.1455940548159193,0.2430374956560833,0.21225979356218697,0.2122955042526607,0.21476468540734484,0.1495913095381814,0.28729782701793916
cell_27,0.22439557712202526,0.1528059442276492,0.20365907789559762,0.2398361432625908,0.2662957291014654,0.3050548084171386,0.2539908968701638,0.20986774562507013
cell_28,0.25722714612994446,0.21654686652026225,0.26115065563225504,0.10752114797157027,0.12602292648892818,0.09216874407848683,0.0647523937117777,0.3031271153404305
cell_29,0.28594259941541283,0.22240166017243707,0.2776706266529164,0.15736014866634715,0.1821742042165471,0.1582721568090351,0.1058460008662221,0.2974470517853581
cell_30,0.15815647872388267,0.1351137592902224,0.17536608965125647,0.0569378591668662,0.15163410369119867,0.16605779185117683,0.11672979139650125,0.21504720463824506
cell_31,0.28772559783018375,0.2671903639708941,0.28475322175893325,0.22349614270815982,0.3028294924817928,0.282174880537767,0.1999452838453318,0.27224378897336193
